ID,mean,std,median
1,0.26,0.09,0.26
3,0.41,0.04,0.4
4,0.67,,0.67
7,0.26,0.04,0.26
8,0.94,0.05,0.94
9,0.83,0.24,0.83
10,0.17,0.04,0.17
14,,,
15,0.75,0.03,0.75
16,0.22,0.02,0.22
18,0.07,,0.07
19,0.3,0.15,0.3
20,0.72,,0.72
21,0.31,,0.31
22,0.84,,0.84
23,0.57,0.08,0.59
24,,,
25,0.67,,0.67
26,0.6,,0.6
27,0.4,0.05,0.4
28,0.53,0.02,0.52
30,0.52,0.03,0.52
32,,,
33,0.28,,0.28
37,0.84,0.02,0.85
39,0.58,,0.58
40,0.23,,0.23
41,1.0,0.0,1.0
42,0.68,0.15,0.64
45,0.19,0.01,0.18
50,0.81,0.12,0.84
52,0.57,0.06,0.57
53,0.58,0.03,0.58
54,0.9,0.05,0.92
55,0.28,0.0,0.28
56,0.8,0.02,0.8
57,0.26,0.02,0.26
59,0.5,0.04,0.5
61,0.95,0.07,0.99
64,0.24,0.05,0.22
66,0.56,0.08,0.56
67,0.38,0.12,0.38
68,0.18,0.03,0.18
70,,,
71,0.36,0.0,0.36
72,0.36,0.04,0.36
79,0.58,,0.58
80,0.73,0.03,0.74
83,0.29,,0.29
84,0.24,0.08,0.24
85,0.62,0.07,0.62
87,0.55,0.05,0.56
90,0.97,,0.97
91,,,
93,0.63,0.03,0.64
96,,,
97,0.0,0.0,0.0
98,0.92,0.01,0.92
99,0.32,0.06,0.3
100,0.1,0.04,0.11
101,0.32,0.18,0.24
102,,,
105,0.22,0.03,0.22
107,0.62,0.01,0.62
108,0.37,0.04,0.39
111,0.19,,0.19
113,0.67,,0.67
114,0.47,0.03,0.46
115,0.46,,0.46
119,0.26,0.06,0.26
120,0.34,0.01,0.34
122,1.0,,1.0
127,0.25,0.02,0.25
128,1.0,,1.0
130,0.65,,0.65
131,0.76,0.08,0.76
136,0.3,,0.3
137,0.71,0.11,0.71
138,0.59,,0.59
139,0.6,0.02,0.6
142,0.5,0.09,0.5
145,0.65,0.02,0.64
146,0.48,0.11,0.48
148,0.13,0.03,0.12
150,0.3,0.01,0.3
151,1.0,0.0,1.0
153,0.33,,0.33
154,0.22,0.02,0.22
156,0.92,0.11,0.92
157,,,
158,0.16,,0.16
159,0.24,0.06,0.25
163,0.53,,0.53
166,0.89,,0.89
169,0.45,0.01,0.45
171,0.44,0.02,0.44
173,0.83,0.01,0.83
174,0.34,0.05,0.37
175,0.29,0.01,0.29
176,0.82,,0.82
177,0.46,0.05,0.46
178,0.9,0.07,0.88
180,0.56,,0.56
182,0.36,0.04,0.36
183,,,
184,0.53,0.18,0.62
189,0.42,0.08,0.42
190,0.95,,0.95
194,0.35,0.16,0.35
195,0.69,,0.69
197,0.38,,0.38
200,0.44,0.04,0.45
202,0.33,,0.33
203,0.24,0.0,0.24
206,1.0,,1.0
208,0.2,0.03,0.19
210,0.38,0.05,0.38
213,0.64,0.09,0.62
215,0.52,,0.52
216,0.22,0.12,0.28
220,0.73,,0.73
222,0.36,0.06,0.35
223,,,
224,0.33,,0.33
225,0.29,,0.29
227,0.13,0.03,0.12
228,0.83,,0.83
229,,,
231,0.67,,0.67
232,0.24,0.03,0.23
234,0.41,0.06,0.41
235,0.39,0.06,0.39
236,0.04,,0.04
238,0.57,,0.57
239,0.39,0.03,0.4
241,0.44,,0.44
243,0.2,0.0,0.2
244,0.52,0.05,0.52
245,0.36,0.03,0.36
246,0.12,,0.12
248,0.65,0.03,0.67
249,0.6,0.24,0.6
252,0.17,0.01,0.17
254,0.42,0.01,0.42
